ticker,nome,exchange,tipo,subtipo,cik,sic,sic_description,fonte_tipo
A,"Agilent Technologies, Inc. Common Stock",NYSE,Acao,,0001090872,3826,Laboratory Analytical Instruments,default_rule
AA,Alcoa Corporation Common Stock,NYSE,Acao,,0001675149,3334,Primary Production of  Aluminum,default_rule
AAA,Alternative Access First Priority CLO Bond ETF,NYSE ARCA,ETF,,,,,nasdaqtrader_etf_flag
AAAA,EA Series Trust Amplius Aggressive Asset Allocation ETF,CBOE BZX,ETF,,,,,nasdaqtrader_etf_flag
AAAU,Goldman Sachs Physical Gold ETF Shares,CBOE BZX,ETF,,,,,nasdaqtrader_etf_flag
AACB,Artius II Acquisition Inc. - Class A Ordinary Shares,NASDAQ,Acao,,0002034334,6770,Blank Checks,default_rule
AACBR,Artius II Acquisition Inc. - Rights,NASDAQ,Acao,,0002034334,6770,Blank Checks,default_rule
AACBU,Artius II Acquisition Inc. - Units,NASDAQ,Acao,,0002034334,6770,Blank Checks,default_rule
AACG,"ATA Creativity Global - American Depositary Shares, each representing two common shares",NASDAQ,ADR,,,,,nasdaqtrader_securityname_adr
AACI,Armada Acquisition Corp. II - Class A Ordinary Shares,NASDAQ,Acao,,0002044009,6770,Blank Checks,default_rule
AACIU,Armada Acquisition Corp. II - Units,NASDAQ,Acao,,0002044009,6770,Blank Checks,default_rule
AACIW,Armada Acquisition Corp. II - Warrant,NASDAQ,Acao,,0002044009,6770,Blank Checks,default_rule
AADR,AdvisorShares Dorsey Wright ADR ETF,NASDAQ,ETF,,,,,nasdaqtrader_etf_flag
AAL,"American Airlines Group, Inc. - Common Stock",NASDAQ,Acao,,0000006201,4512,"Air Transportation, Scheduled",default_rule
AALG,Leverage Shares 2X Long AAL Daily ETF,NASDAQ,ETF,,,,,nasdaqtrader_etf_flag
AAM,AA Mission Acquisition Corp. Class A Ordinary Shares,NYSE,Acao,,0002012964,6770,Blank Checks,default_rule
AAM.U,"AA Mission Acquisition Corp. Units, each consisting of one Class A Ordinary Share and one-half of one redeemable warrant",NYSE,Acao,,,,,default_rule
AAM.W,"AA Mission Acquisition Corp. Warrants, each whole warrant entitles the holder to purchase one Class A ordinary share at a price of $11.50 per share",NYSE,Acao,,,,,default_rule
AAME,Atlantic American Corporation - Common Stock,NASDAQ,Acao,,0000008177,6311,Life Insurance,default_rule
AAMI,Acadian Asset Management Inc. Common Stock,NYSE,Acao,,0001748824,6282,Investment Advice,default_rule
AAOI,"Applied Optoelectronics, Inc. - Common Stock",NASDAQ,Acao,,0001158114,3674,Semiconductors & Related Devices,default_rule
AAON,"AAON, Inc. - Common Stock",NASDAQ,Acao,,0000824142,3585,Air-Cond & Warm Air Heatg Equip & Comm & Indl Refrig Equip,default_rule
AAP,Advance Auto Parts Inc.,NYSE,Acao,,0001158449,5531,Retail-Auto & Home Supply Stores,default_rule
AAPB,GraniteShares 2x Long AAPL Daily ETF,NASDAQ,ETF,,,,,nasdaqtrader_etf_flag
AAPD,Direxion Daily AAPL Bear 1X Shares,NASDAQ,ETF,,,,,nasdaqtrader_etf_flag
AAPG,Ascentage Pharma Group International - American Depository Shares,NASDAQ,ADR,,,,,nasdaqtrader_securityname_adr
AAPL,Apple Inc. - Common Stock,NASDAQ,Acao,,0000320193,3571,Electronic Computers,default_rule
AAPR,SHL Telemedicine Ltd Innovator Equity Defined Protection ETF - 2 Yr to April 2026,CBOE BZX,ETF,,,,,nasdaqtrader_etf_flag
AAPU,Direxion Daily AAPL Bull 2X Shares,NASDAQ,ETF,,,,,nasdaqtrader_etf_flag
AAPW,Roundhill ETF Trust Roundhill AAPL WeeklyPay ETF,CBOE BZX,ETF,,,,,nasdaqtrader_etf_flag
AAPX,ETF Opportunities Trust T-Rex 2X Long Apple Daily Target ETF,CBOE BZX,ETF,,,,,nasdaqtrader_etf_flag
AAPY,Kurv Yield Premium Strategy Apple (AAPL) ETF,CBOE BZX,ETF,,,,,nasdaqtrader_etf_flag
AARD,"Aardvark Therapeutics, Inc. - Common Stock",NASDAQ,Acao,,0001774857,2834,Pharmaceutical Preparations,default_rule
AAT,"American Assets Trust, Inc. Common Stock",NYSE,REIT,,0001500217,6798,Real Estate Investment Trusts,sec_sic_6798
AAUC,Allied Gold Corporation Common Shares,NYSE,Acao,,0001993344,,,default_rule
AAUM,Tema ETF Trust Tema Alternative Asset Managers ETF,CBOE BZX,ETF,,,,,nasdaqtrader_etf_flag
AAUS,Alpha Architect US Equity ETF,NASDAQ,ETF,,,,,nasdaqtrader_etf_flag
AAVM,Alpha Architect Global Factor Equity ETF,NASDAQ,ETF,,,,,nasdaqtrader_etf_flag
AAXJ,iShares MSCI All Country Asia ex Japan ETF,NASDAQ,ETF,,,,,nasdaqtrader_etf_flag
AB,AllianceBernstein Holding L.P.  Units,NYSE,Acao,,0000825313,6282,Investment Advice,default_rule
ABAT,American Battery Technology Company - Common Stock,NASDAQ,Acao,,0001576873,1400,Mining & Quarrying of  Nonmetallic Minerals (No Fuels),default_rule
ABBV,AbbVie Inc. Common Stock,NYSE,Acao,,0001551152,2834,Pharmaceutical Preparations,default_rule
ABCB,Ameris Bancorp Common Stock,NYSE,Acao,,0000351569,6022,State Commercial Banks,default_rule
ABCL,AbCellera Biologics Inc. - Common Shares,NASDAQ,Acao,,0001703057,2834,Pharmaceutical Preparations,default_rule
ABCS,Alpha Blue Capital US Small-Mid Cap Dynamic ETF,NASDAQ,ETF,,,,,nasdaqtrader_etf_flag
ABEO,Abeona Therapeutics Inc. - Common Stock,NASDAQ,Acao,,0000318306,2834,Pharmaceutical Preparations,default_rule
ABEQ,Absolute Select Value ETF,NYSE ARCA,ETF,,,,,nasdaqtrader_etf_flag
ABEV,Ambev S.A. American Depositary Shares (Each representing 1 Common Share),NYSE,ADR,,,,,nasdaqtrader_securityname_adr
ABFL,Abacus FCF Leaders ETF,CBOE BZX,ETF,,,,,nasdaqtrader_etf_flag
ABG,Asbury Automotive Group Inc Common Stock,NYSE,Acao,,0001144980,5500,Retail-Auto Dealers & Gasoline Stations,default_rule
ABI,VictoryShares Pioneer Asset-Based Income ETF,NASDAQ,ETF,,,,,nasdaqtrader_etf_flag
ABIG,Argent Large Cap ETF,NASDAQ,ETF,,,,,nasdaqtrader_etf_flag
ABL,"Abacus Global Management, Inc. - Class A Common Stock",NASDAQ,Acao,,0001814287,6282,Investment Advice,default_rule
ABLD,Abacus FCF Real Assets Leaders ETF,CBOE BZX,ETF,,,,,nasdaqtrader_etf_flag
ABLG,Abacus FCF International Leaders ETF,CBOE BZX,ETF,,,,,nasdaqtrader_etf_flag
ABLLL,"Abacus Global Management, Inc. - 9.875% Fixed Rate Senior Notes due 2028",NASDAQ,Acao,,0001814287,6282,Investment Advice,default_rule
ABLS,Abacus FCF ETF Trust Abacus FCF Small Cap Leaders ETF,CBOE BZX,ETF,,,,,nasdaqtrader_etf_flag
ABLV,Able View Global Inc. - Class B Ordinary Shares,NASDAQ,Acao,,0001957489,5960,Retail-Nonstore Retailers,default_rule
ABLVW,Able View Global Inc. - Warrant,NASDAQ,Acao,,0001957489,5960,Retail-Nonstore Retailers,default_rule
ABM,ABM Industries Incorporated Common Stock,NYSE,Acao,,0000771497,7340,Services-To Dwellings & Other Buildings,default_rule
