ticker,kind,name,isin,fonte,data_atualizacao
A1AP34,bdr,ADVANCE AUTO PARTS INC,BRA1APBDR001,bdrs_20250924_040410.xlsx,2025-09-24
A1BB34,bdr,ABB LTD,BRA1BBBDR009,bdrs_20250924_040410.xlsx,2025-09-24
A1BM34,bdr,ABIOMED Inc,BRA1BMBDR006,bdrs_20250924_040410.xlsx,2025-09-24
A1CR34,bdr,AMCOR PLC,BRA1CRBDR003,bdrs_20250924_040410.xlsx,2025-09-24
A1DI34,bdr,ANALOG DEVICES INC,BRA1DIBDR000,bdrs_20250924_040410.xlsx,2025-09-24
A1DM34,bdr,ARCHER-DANIELS-MIDLAND CO,BRA1DMBDR002,bdrs_20250924_040410.xlsx,2025-09-24
A1EE34,bdr,AMEREN CORP,BRA1EEBDR007,bdrs_20250924_040410.xlsx,2025-09-24
A1EG34,bdr,AEGON NV,BRA1EGBDR002,bdrs_20250924_040410.xlsx,2025-09-24
A1EN34,bdr,ALLIANT ENERGY CORP,BRA1ENBDR008,bdrs_20250924_040410.xlsx,2025-09-24
A1EP34,bdr,AMERICAN ELECTRIC POWER CO INC,BRA1EPBDR003,bdrs_20250924_040410.xlsx,2025-09-24
A1ES34,bdr,AES CORP,BRA1ESBDR007,bdrs_20250924_040410.xlsx,2025-09-24
A1FL34,bdr,AFLAC INC,BRA1FLBDR009,bdrs_20250924_040410.xlsx,2025-09-24
A1GI34,bdr,AGILENT TECHNOLOGIES INC,BRA1GIBDR003,bdrs_20250924_040410.xlsx,2025-09-24
A1GN34,bdr,ALLEGION PLC,BRA1GNBDR003,bdrs_20250924_040410.xlsx,2025-09-24
A1IV34,bdr,APARTMENT INVESTMENT & MANAGEMENT CO,BRA1IVBDR002,bdrs_20250924_040410.xlsx,2025-09-24
A1JG34,bdr,ARTHUR J GALLAGHER & CO,BRA1JGBDR001,bdrs_20250924_040410.xlsx,2025-09-24
A1KA34,bdr,AKAMAI TECHNOLOGIES INC,BRA1KABDR002,bdrs_20250924_040410.xlsx,2025-09-24
A1LB34,bdr,ALBEMARLE CORP,BRA1LBBDR008,bdrs_20250924_040410.xlsx,2025-09-24
A1LG34,bdr,ALIGN TECHNOLOGY INC,BRA1LGBDR007,bdrs_20250924_040410.xlsx,2025-09-24
A1LK34,bdr,ALASKA AIR GROUP INC,BRA1LKBDR009,bdrs_20250924_040410.xlsx,2025-09-24
A1LL34,bdr,"Bread Financial Holdings, Inc.",BRA1LLBDR007,bdrs_20250924_040410.xlsx,2025-09-24
A1LN34,bdr,ALNYLAM PHARMACEUTICALS INC,BRA1LNBDR003,bdrs_20250924_040410.xlsx,2025-09-24
A1MB34,bdr,AMERISOURCEBERGEN CORP,BRA1MBBDR006,bdrs_20250924_040410.xlsx,2025-09-24
A1MD34,bdr,ADVANCED MICRO DEVICES INC,BRA1MDBDR002,bdrs_20250924_040410.xlsx,2025-09-24
A1ME34,bdr,AMETEK INC,BRA1MEBDR000,bdrs_20250924_040410.xlsx,2025-09-24
A1MP34,bdr,AMERIPRISE FINANCIAL INC,BRA1MPBDR006,bdrs_20250924_040410.xlsx,2025-09-24
A1MT34,bdr,APPLIED MATERIALS INC,BRA1MTBDR008,bdrs_20250924_040410.xlsx,2025-09-24
A1MX34,bdr,America Movil SAB de CV,BRA1MXBDR000,bdrs_20250924_040410.xlsx,2025-09-24
A1NE34,bdr,ARISTA NETWORKS INC,BRA1NEBDR008,bdrs_20250924_040410.xlsx,2025-09-24
A1NS34,bdr,ANSYS INC,BRA1NSBDR008,bdrs_20250924_040410.xlsx,2025-09-24
A1ON34,bdr,AON PLC,BRA1ONBDR007,bdrs_20250924_040410.xlsx,2025-09-24
A1OS34,bdr,AO SMITH CORP,BRA1OSBDR006,bdrs_20250924_040410.xlsx,2025-09-24
A1PA34,bdr,APA CORP,BRA1PABDR001,bdrs_20250924_040410.xlsx,2025-09-24
A1PD34,bdr,AIR PRODUCTS & CHEMICALS INC,BRA1PDBDR005,bdrs_20250924_040410.xlsx,2025-09-24
A1PH34,bdr,AMPHENOL CORP,BRA1PHBDR006,bdrs_20250924_040410.xlsx,2025-09-24
A1RE34,bdr,ALEXANDRIA REAL ESTATE EQUITIES INC,BRA1REBDR009,bdrs_20250924_040410.xlsx,2025-09-24
A1RG34,bdr,ARGENX SE,BRA1RGBDR004,bdrs_20250924_040410.xlsx,2025-09-24
A1SN34,bdr,ASCENDIS PHARMA A/S,BRA1SNBDR008,bdrs_20250924_040410.xlsx,2025-09-24
A1SU34,bdr,ASSURANT INC,BRA1SUBDR003,bdrs_20250924_040410.xlsx,2025-09-24
A1TH34,bdr,AUTOHOME INC,BRA1THBDR008,bdrs_20250924_040410.xlsx,2025-09-24
A1TM34,bdr,ATMOS ENERGY CORP,BRA1TMBDR008,bdrs_20250924_040410.xlsx,2025-09-24
A1TT34,bdr,ALLSTATE CORP,BRA1TTBDR003,bdrs_20250924_040410.xlsx,2025-09-24
A1UA34,bdr,ANGLOGOLD ASHANTI LTD,BRA1UABDR001,bdrs_20250924_040410.xlsx,2025-09-24
A1UT34,bdr,AUTODESK INC,BRA1UTBDR001,bdrs_20250924_040410.xlsx,2025-09-24
A1VB34,bdr,AVALONBAY COMMUNITIES INC,BRA1VBBDR007,bdrs_20250924_040410.xlsx,2025-09-24
A1VY34,bdr,AVERY DENNISON CORP,BRA1VYBDR009,bdrs_20250924_040410.xlsx,2025-09-24
A1WK34,bdr,AMERICAN WATER WORKS CO INC,BRA1WKBDR006,bdrs_20250924_040410.xlsx,2025-09-24
A1YX34,bdr,ALTERYX INC,BRA1YXBDR005,bdrs_20250924_040410.xlsx,2025-09-24
A1ZN34,bdr,ASTRAZENECA PLC,BRA1ZNBDR003,bdrs_20250924_040410.xlsx,2025-09-24
A2LC34,bdr,ALCON INC,BRA2LCBDR004,bdrs_20250924_040410.xlsx,2025-09-24
A2MB34,bdr,AMBARELLA INC,BRA2MBBDR004,bdrs_20250924_040410.xlsx,2025-09-24
