alias,ticker,kind
FII AFHI CRI,AFHI11,fii
FII AFHF,AFHF11,fii
FII A TOWN,ATWN11,fii
FII AJ MALLS,AJFI11,fii
FII ALIANZAC,ALZC11,fii
FII MULT OF1,MTOF11,fii
FII ALIANZA,ALZR11,fii
FII ALI URB,AURB11,fii
FII APEX MS,APXM11,fii
FII APXU,APXU11,fii
FII AUTONOMY,AIEC11,fii
FII AROA,AROA11,fii
FII EIRA,EIRA11,fii
FII ARTE,ARTE11,fii
FII ARXD R,ARXD11,fii
FII AZPE,AZPE11,fii
FII AZPL,AZPL11,fii
FII CEBB,CEBB11,fii
FII BEES CRI,BCRI11,fii
FII BANRISUL,BNFS11,fii
FII BR MALLS,BTML11,fii
FII BARZEL,BZEL11,fii
FII BPDR,BPDR11,fii
FII BASILICA,BPLC11,fii
FII BPMW,BPMW11,fii
FII BB FOF,BBFO11,fii
FII BB PROGR,BBFI11,fii
FII BBIG,BBIG11,fii
FII BB CORP,BBRC11,fii
FII BINR,BINR11,fii
FII BGRB,BGRB11,fii
FII BLOG,BLOG11,fii
FII BLUE LOG,BLMG11,fii
FII BMBRC LC,BMLC11,fii
FII BR7 SENA,BRSE11,fii
FII BCIA,BCIA11,fii
FII ABSOLUTO,BPFF11,fii
FII B VAREJO,BVAR11,fii
FII DEA CARE,CARE11,fii
FII ATHENA I,FATN11,fii
FII RTEL,RTEL11,fii
FII BRCD,BRCD11,fii
FII BRESCO,BRCO11,fii
FII BRIO CRE,BICE11,fii
FII BRIO ME,BIME11,fii
FII BRIO II,BRIM11,fii
FII BRIO III,BRIP11,fii
FII BRIO IV,BIPD11,fii
FII BRIO V,BIPE11,fii
FII BROF,BROF11,fii
FII BETW,BETW11,fii
FII BS2,LLAO11,fii
FII BTHR,BTHR11,fii
BTG HOTEL FI,BTHI11,fii
FII BTG AGRO,BTAL11,fii
FII BC FUND,BRCR11,fii
FII BTG CRI,BTCI11,fii
FII BTLG,BTLG11,fii
FII BTHF,BTHF11,fii
FII BTG SHOP,BPML11,fii
FII BTG TAGR,BTRA11,fii
FII BTYU,BTYU11,fii
FII BTOWERS,BTWR11,fii
FII BTSP I,BTSG11,fii
FII BTSP II,BTSI11,fii
FII CEF CORP,CXCO11,fii
FII CX RBRA2,CRFF11,fii
FII CX RBRAV,CXRI11,fii
FII CANUMA,CCME11,fii
FII CCVA,CCVA11,fii
FII CPHBC UR,CPUR11,fii
FII CPLG,CPLG11,fii
FII CPOF,CPOF11,fii
FII CAPI SEC,CPTS11,fii
FII CPSH,CPSH11,fii
CARTESIA FII,CACR11,fii
FII CBOP PAX,CBOP11,fii
FII BLCA VBI,BLCA11,fii
FII CENESP,CNES11,fii
FII CDHY,CDHY11,fii
FII C TEXTIL,CTXT11,fii
FII CENU,CENU11,fii
FII CF2,CFHI11,fii
FII CF3 IMOB,CFII11,fii
FII CJCTOWER,CJCT11,fii
FII CIXM,CIXM11,fii
FII CIXF,CIXF11,fii
FII CLAVE IN,CLIN11,fii
FII COSMIC,CSMC11,fii
FII RENV,RENV11,fii
FII BREI,IBCR11,fii
FII CVPAR,CVPR11,fii
FII CYRELA,CYCR11,fii
FII CYLD,CYLD11,fii
FII DAMA,DAMA11,fii
FII DAYC REM,DAYM11,fii
FII ASA RET,ASRF11,fii
FII DEL MONT,DLMT11,fii
FII DEVA PRO,DPRO11,fii
FII DEVANT,DEVA11,fii
FII DIAMANTE,DAMT11,fii
FII DOVEL,DOVL11,fii
FII EDGE,EDGE11,fii
FII EMET,EMET11,fii
FII ENERGY,EGYR11,fii
FII EQI RECE,EQIR11,fii
FII ESTOQ RJ,ERCR11,fii
FII EUROPA,ERPA11,fii
FII EVEN II,KEVE11,fii
FII EXES,EXES11,fii
FII FL RECEB,FLCR11,fii
FII FATOR VE,VRTA11,fii
FII VRTM,VRTM11,fii
FII FTRE,FTRE11,fii
FII S F LIMA,FLMA11,fii
FII EGDB,EGDB11,fii
FII ELDORADO,ELDO11,fii
FII EUROPAR,EURO11,fii
FII HYPI,HYPI11,fii
FII HIRE RES,HRES11,fii
FII INDL BR,FIIB11,fii
FII MEMORIAL,FMOF11,fii
FII PATRI IV,OPTM11,fii
FII TORRE AL,ALMI11,fii
FII FLNR,FLNR11,fii
FII JCIN,JCIN11,fii
FII HLMB,HLMB11,fii
FII KINEAFOF,KFOF11,fii
FII DEVA FOF,DVFF11,fii
FII ANCAR IC,ANCR11,fii
FII ANH EDUC,FAED11,fii
FII CAMPUSFL,FCFL11,fii
FII CEO CCP,CEOC11,fii
FII ALMIRANT,FAMB11,fii
FII GALERIA,EDGA11,fii
FII FYTO,FYTO11,fii
FII CRIANCA,HCRI11,fii
FII LOURDES,NSLU11,fii
FII MAX RET,MAXR11,fii
FII D PEDRO,PQDP11,fii
FII RBR III,RBRI11,fii
FII RBRDESIV,RDIV11,fii
FII RBRHGRAD,RBRR11,fii
FII REC RECE,RECR11,fii
FII REC REND,RECT11,fii
FII SHOP PDP,SHDP11,fii
FII TORRE NO,TRNT11,fii
FII APXR,APXR11,fii
FII BRHOTEIS,BRHT11,fii
FII BRCQ,BRCQ11,fii
FII CAIXA AG,CXAG11,fii
FII CAIXA CI,CXCI11,fii
